,x,y,labels,fname,loss
64,1.5273526906967163,6.988321304321289,6.0,/content/AEC-Demo/camera/1911181200005509_6-floors.jpg,5.6658597
59,1.575353980064392,7.008797645568848,6.0,/content/AEC-Demo/camera/1911181045005504_6-floors.jpg,4.3800488
56,1.4306119680404663,7.008143424987793,6.0,/content/AEC-Demo/camera/1911181000005501_6-floors.jpg,3.2465765
91,9.304800987243652,7.90105676651001,15.0,/content/AEC-Demo/camera/2007181120000564_15-floors.jpg,1.8993251
61,1.2232087850570679,7.134490013122559,6.0,/content/AEC-Demo/camera/1911181115005506_6-floors.jpg,1.7395521
57,0.9381818175315857,7.1874189376831055,6.0,/content/AEC-Demo/camera/1911181015005502_6-floors.jpg,1.5091773
1,-2.7699904441833496,5.926349639892578,0.0,/content/AEC-Demo/camera/1810101200000696_0-floor.jpg,1.386596
0,-2.770552635192871,5.911338806152344,0.0,/content/AEC-Demo/camera/1810101155080695_0-floor.jpg,1.3841572
60,0.9349393844604492,7.259217739105225,6.0,/content/AEC-Demo/camera/1911181100005505_6-floors.jpg,1.309219
19,-1.6379708051681519,4.514596939086914,0.0,/content/AEC-Demo/camera/1812251800005356_0-floor.jpg,1.1766402
2,-2.744115114212036,5.855831146240234,0.0,/content/AEC-Demo/camera/1810101215000697_0-floor.jpg,1.1515834
20,-1.7239627838134766,4.481223106384277,0.0,/content/AEC-Demo/camera/1812251815005357_0-floor.jpg,1.1118599
17,-1.6617909669876099,4.556208610534668,0.0,/content/AEC-Demo/camera/1812251730005354_0-floor.jpg,1.092655
58,0.5054458975791931,7.438912391662598,6.0,/content/AEC-Demo/camera/1911181030005503_6-floors.jpg,0.9976747
16,-1.9733569622039795,4.350834846496582,0.0,/content/AEC-Demo/camera/1812251715005353_0-floor.jpg,0.94658583
23,-2.3141720294952393,4.1186370849609375,0.0,/content/AEC-Demo/camera/1812251900005360_0-floor.jpg,0.75842106
86,10.221260070800781,8.141681671142578,15.0,/content/AEC-Demo/camera/2007181030000559_15-floors.jpg,0.7273576
83,10.31419563293457,8.1744966506958,15.0,/content/AEC-Demo/camera/2007181000000556_15-floors.jpg,0.68701726
88,10.610611915588379,8.14953899383545,15.0,/content/AEC-Demo/camera/2007181050000561_15-floors.jpg,0.602842
89,10.683758735656738,8.384238243103027,15.0,/content/AEC-Demo/camera/2007181100000562_15-floors.jpg,0.5727022
